TQ,DPQ,C,OU,DI,DFT,DFO,RD
4,4,3,3,33,25,5,3
4,0,0,4,8,7,2,9
4,1,2,4,31,17,24,14
3,4,1,3,16,25,2,16
1,2,4,4,63,12,8,5
3,4,4,3,17,5,27,5
1,0,4,0,16,0,19,5
2,0,0,2,49,15,5,10
4,0,2,0,10,10,2,0
1,0,0,0,51,4,0,4
4,2,2,3,17,20,3,0
2,4,4,2,104,0,5,9
4,4,0,2,29,54,4,14
2,3,2,4,34,42,41,0
1,2,2,1,45,27,4,8
2,3,1,4,15,0,48,11
3,3,1,0,18,10,14,3
1,3,1,1,34,12,28,18
4,2,2,0,57,25,6,5
4,3,4,3,40,7,8,6
3,0,0,1,49,53,0,9
1,2,1,4,39,12,19,4
3,1,4,1,15,17,7,14
4,0,0,1,32,0,2,10
2,3,4,4,40,1,7,7
4,2,4,3,44,3,8,3
2,0,3,4,18,21,2,12
1,3,3,0,10,11,4,3
1,0,0,1,49,0,7,8
4,0,4,4,25,19,4,6
2,1,3,0,69,33,15,2
4,2,1,1,70,22,6,6
1,1,0,4,42,18,10,9
0,3,0,4,59,2,8,3
0,4,1,0,52,33,27,8
1,3,3,2,4,13,2,21
3,3,0,2,0,24,26,13
1,1,3,0,36,4,13,14
4,2,2,1,4,8,10,8
0,4,4,1,11,4,9,2
3,2,3,3,54,1,3,0
1,0,4,3,10,20,19,16
1,4,4,4,54,39,10,4
2,4,0,1,68,31,11,0
3,0,2,1,25,6,3,5
1,0,2,1,25,18,20,2
3,2,3,3,20,23,2,1
2,2,2,4,13,1,16,3
3,4,4,1,36,33,0,2
1,1,4,1,4,25,1,2
0,2,4,4,41,6,6,6
1,2,4,1,46,39,5,0
0,2,3,1,15,14,22,1
0,3,3,4,51,0,25,21
1,3,2,4,7,7,30,5
3,3,0,0,33,28,8,2
1,4,4,1,29,26,25,22
3,4,0,3,100,14,6,5
0,0,0,3,60,7,29,8
3,0,3,1,8,5,36,9
1,3,0,3,9,29,17,15
1,4,3,0,38,31,17,30
0,4,0,2,3,7,8,1
4,3,0,1,33,0,10,5
2,1,1,3,20,27,1,2
1,2,3,0,43,60,13,9
3,1,1,2,41,15,7,11
3,1,4,3,5,11,27,8
2,2,1,2,36,9,1,7
1,2,2,4,26,20,2,0
4,3,2,3,3,31,30,6
1,4,3,2,47,71,10,9
1,0,1,2,19,7,15,5
1,3,1,1,11,1,0,4
4,2,1,0,28,1,12,4
3,4,1,1,19,1,13,3
3,4,0,0,23,0,11,4
0,2,4,0,0,11,23,4
3,2,2,3,4,7,53,0
0,2,0,1,67,20,0,14
3,3,2,3,40,2,37,5
0,0,3,3,9,6,4,7
2,3,3,0,52,28,9,5
3,2,0,2,89,22,20,6
2,3,1,4,17,3,23,2
3,4,4,0,19,16,5,14
0,4,2,3,54,15,5,7
1,2,4,1,22,0,35,9
3,1,1,2,23,3,4,0
4,2,4,2,14,11,25,9
0,4,4,3,62,41,0,10
3,0,1,3,4,16,33,7
4,0,4,0,36,40,24,2
3,0,0,4,2,5,0,20
3,1,3,1,6,8,22,1
2,4,3,3,52,26,4,1
3,0,0,1,41,9,6,12
3,1,3,1,24,13,17,21
1,3,0,2,14,35,12,23
0,4,1,4,50,21,24,19
1,0,3,3,19,26,25,1
0,1,3,2,15,9,9,8
1,1,1,1,6,22,1,12
3,4,0,1,30,1,10,9
0,3,3,4,36,26,15,2
4,4,3,2,27,5,56,5
4,2,1,2,18,18,9,0
3,3,4,3,41,2,7,7
2,4,4,2,16,3,39,13
3,1,1,0,0,46,1,3
4,0,4,0,29,13,12,8
3,0,1,4,38,33,1,2
3,1,4,1,0,12,46,8
4,1,2,4,6,23,3,4
4,4,2,3,8,11,0,5
3,1,1,3,24,11,1,1
2,1,1,1,16,12,18,6
2,2,0,0,19,8,3,3
4,2,0,0,1,1,4,12
3,0,4,3,15,4,2,10
2,0,1,2,13,8,31,23
2,2,4,1,12,2,7,2
1,2,4,4,24,14,11,0
1,1,3,4,15,19,4,1
2,4,2,2,30,7,5,6
4,1,1,1,79,1,3,20
4,4,3,0,47,13,24,4
0,4,2,1,45,27,32,10
0,0,2,4,47,32,43,0
1,3,3,1,47,14,2,9
2,1,3,3,46,8,14,21
1,4,3,2,4,12,8,15
0,2,3,4,61,6,7,5
1,2,3,2,5,1,7,3
0,0,2,1,76,5,19,0
3,4,0,0,5,14,4,2
0,0,1,4,22,17,4,2
2,4,4,0,27,2,1,7
3,3,1,1,17,54,27,13
4,2,4,2,76,2,18,6
4,0,0,4,57,47,10,2
3,1,3,3,7,2,1,10
3,0,0,1,24,2,6,25
0,1,0,1,27,0,23,8
0,4,1,4,9,28,49,1
0,1,1,2,51,4,24,3
0,3,2,0,4,13,45,4
3,2,3,1,3,13,1,3
3,2,2,2,4,9,1,6
2,2,1,1,25,40,36,11
0,2,4,2,36,23,3,1
0,1,4,0,27,31,26,7
1,1,2,3,17,9,41,10
0,1,1,0,23,11,6,2
2,0,1,4,24,6,3,3
4,1,4,4,30,3,10,0
4,1,1,4,39,6,29,0
2,1,3,2,76,3,34,12
4,2,2,1,26,13,8,0
2,2,0,2,21,2,15,5
3,4,2,1,26,19,20,0
4,2,3,4,5,0,31,5
3,0,2,0,52,19,8,1
1,4,2,3,5,2,3,14
3,1,1,4,8,21,1,3
1,3,3,2,77,21,12,13
0,0,2,2,14,2,21,14
3,3,2,1,7,5,6,7
0,3,0,2,19,6,13,10
2,2,0,0,68,15,6,12
0,4,3,1,50,22,3,2
0,2,2,2,8,0,8,16
3,2,0,0,49,10,2,9
0,2,3,0,33,2,14,6
4,3,0,0,92,4,1,4
2,4,0,0,16,44,10,39
0,3,0,4,22,10,2,22
4,3,4,2,60,41,0,0
3,1,3,3,1,8,1,4
3,3,4,3,37,6,1,7
3,3,0,4,2,6,2,1
1,2,4,4,65,5,45,11
4,3,3,1,9,0,33,14
0,0,2,2,30,23,9,20
1,2,4,0,13,1,2,9
4,0,1,0,2,21,5,12
0,0,1,4,32,11,9,2
4,4,1,4,11,4,5,45
2,3,4,1,35,6,14,0
2,3,2,4,32,13,61,1
3,4,3,3,51,0,17,0
2,0,4,0,37,13,22,8
3,2,0,4,2,8,0,27
4,3,4,2,25,4,10,4
0,1,2,4,0,15,33,1
2,3,2,1,27,6,11,17
1,2,3,1,7,9,5,10
3,1,2,3,2,27,1,5
3,3,4,4,13,2,6,8
2,2,2,1,9,1,17,8
2,1,1,4,17,2,9,1
4,3,0,1,33,11,45,26
1,1,4,3,46,20,1,13
3,0,1,0,26,8,44,4
0,3,3,4,17,5,40,6
2,2,4,2,41,23,15,7
3,0,0,2,12,26,23,8
4,4,2,3,40,4,5,9
1,0,1,3,16,2,14,6
2,1,3,2,23,6,3,12
2,3,4,2,19,48,26,5
3,0,0,1,11,18,0,17
3,4,1,1,45,2,15,4
2,4,0,1,0,7,3,10
2,1,3,4,10,1,26,26
4,3,0,0,17,4,0,0
0,2,3,2,50,0,6,0
2,4,1,4,6,21,15,3
4,0,2,0,53,29,5,13
2,2,0,3,23,24,17,5
3,3,2,0,66,29,4,17
4,4,2,3,0,9,1,0
4,2,1,3,30,3,36,22
0,2,1,0,18,16,7,4
2,2,0,3,4,11,30,0
0,0,4,2,46,7,0,12
0,4,0,4,28,11,17,3
0,3,1,2,17,27,17,2
3,2,2,3,17,12,12,0
3,3,2,0,20,48,1,20
1,0,1,2,23,6,4,9
1,0,4,4,34,8,15,3
4,4,1,3,47,1,0,33
3,0,4,2,0,16,13,8
3,4,0,3,66,19,8,9
2,1,0,2,6,11,5,5
3,3,3,2,8,4,20,5
0,4,0,1,27,59,15,17
2,1,1,2,39,17,5,1
4,1,1,1,41,12,4,3
2,3,0,2,51,24,5,3
0,3,0,2,21,37,2,18
1,4,0,1,18,6,4,12
0,0,4,2,48,21,18,5
3,3,0,3,51,7,24,10
2,0,1,4,34,1,21,14
3,0,4,2,50,33,5,13
0,4,3,4,17,1,13,2
3,3,4,2,32,8,8,0
1,2,2,0,1,8,14,3
1,4,1,4,11,39,12,4
1,4,2,0,26,1,14,9
2,4,2,4,71,12,9,1
3,0,4,0,16,5,4,19
2,0,4,1,32,8,18,8
1,1,0,2,37,4,8,1
2,3,0,2,59,45,8,4
3,4,4,4,14,0,3,25
1,4,2,4,18,13,13,9
2,2,3,4,80,20,6,18
2,0,3,4,35,5,26,1
2,1,1,4,41,5,11,7
2,1,0,0,33,50,2,25
1,0,2,2,31,3,3,0
2,4,0,2,26,9,2,15
1,0,3,1,2,14,9,7
3,2,0,2,87,2,3,8
1,3,0,3,7,7,1,0
1,4,1,1,3,14,14,5
3,3,4,1,33,26,1,11
4,4,1,2,12,3,6,5
3,2,0,3,40,7,3,24
1,1,4,4,26,16,37,7
4,1,0,3,32,27,7,11
3,3,4,4,42,15,12,3
1,1,0,2,38,17,22,5
1,0,4,2,3,24,2,36
1,2,3,2,19,14,13,2
1,4,3,2,35,1,23,10
2,4,4,2,63,23,2,26
1,3,0,3,20,23,12,6
3,3,1,0,32,2,20,8
0,0,4,4,35,15,1,7
2,3,2,0,36,9,6,8
3,3,3,1,12,1,22,8
4,4,1,0,55,33,30,25
0,2,3,3,62,26,11,0
0,3,0,2,35,7,26,5
0,4,4,1,31,4,11,1
2,2,4,2,23,3,10,7
3,2,0,1,28,21,6,1
0,4,2,4,8,0,4,11
2,0,3,2,36,6,5,7
0,0,3,4,34,27,14,10
0,3,2,2,24,1,23,7
3,0,1,2,14,7,35,5
2,4,0,3,29,10,4,23
2,2,1,4,57,12,25,9
1,0,2,1,47,12,39,3
3,3,2,1,1,11,33,6
1,1,4,3,7,25,4,0
3,1,2,4,16,17,20,14
2,2,2,2,18,33,8,25
2,1,2,3,27,19,1,3
0,4,3,4,95,5,24,0
0,0,0,4,5,16,44,15
1,0,1,1,7,6,20,3
1,2,0,4,14,1,4,21
3,4,2,4,44,32,9,23
1,2,0,1,19,4,7,4
3,4,0,3,41,40,7,19
0,0,4,0,49,2,8,18
3,1,1,1,27,18,26,21
0,4,4,1,3,11,1,2
0,1,0,0,8,19,5,10
2,1,0,0,26,41,3,23
3,1,4,1,28,14,1,4
0,2,0,3,26,40,10,4
2,2,0,2,4,3,8,12
2,2,3,1,22,1,8,12
1,2,2,0,6,4,11,8
1,4,3,4,39,23,11,1
1,3,2,2,45,9,33,0
4,2,4,1,11,27,25,13
2,3,0,3,28,40,8,22
0,4,1,3,10,0,4,7
4,3,2,0,6,1,0,0
3,2,4,0,76,15,5,18
1,2,3,1,20,17,5,7
0,3,1,2,49,3,22,13
0,3,4,1,74,2,14,8
0,4,1,2,51,4,21,0
1,4,1,4,68,12,16,3
1,0,1,4,3,0,4,6
2,1,3,1,22,2,23,24
0,3,4,1,8,81,10,8
0,0,2,3,42,0,17,17
2,1,1,2,40,25,2,0
1,4,3,2,6,10,9,13
0,0,0,4,31,66,49,2
1,4,3,3,74,10,35,24
0,1,4,0,25,35,12,7
3,3,4,1,28,0,1,9
2,2,2,2,72,3,1,2
1,4,0,3,8,16,14,6
3,3,1,1,77,13,7,8
1,1,2,4,48,32,7,9
0,2,1,0,3,6,29,5
2,0,2,0,2,2,1,6
1,3,4,3,23,3,8,7
0,0,3,0,25,37,6,9
4,3,4,3,49,8,41,3
4,1,4,4,38,7,16,6
0,1,0,4,41,2,12,9
3,1,4,2,13,39,29,1
0,0,1,4,47,38,61,5
4,0,0,4,28,34,19,1
0,3,2,1,61,19,11,5
2,4,1,4,49,13,8,0
3,2,2,3,11,12,22,7
3,4,0,1,38,19,6,19
1,3,2,0,84,7,45,15
0,1,4,0,25,37,7,1
3,3,0,4,37,17,11,13
4,4,1,2,38,3,8,1
4,0,4,4,72,4,2,8
3,0,4,4,18,2,2,8
3,0,3,4,16,15,0,15
